State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,sex_ratio,litracy_rate
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,31710,16424,15286,46980,1063,273,12333,652,37136,36,452,23,27868,190,5318,57,885,14503,5215,19718,11713,10487,8852,6213,4510,2330,142,44247,31763,76010,53752,17922,6960,56,755,577,1382,3169,4178,12051,2014,494,1068,1562,1626,6187,2156,2405,5600,1261,52,161,70,231,28,21,49,6,6,12,4,348,103.0,48.861354682933026
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,40222,23591,16631,58992,3565,493,27854,2289,18254,69,776,30,49393,549,14231,450,1582,19497,9524,29021,9938,13713,13968,10937,9498,6540,525,65119,21543,86662,61993,25334,11802,85,6380,2072,4568,9363,12744,11640,5518,1215,1598,2813,1966,8102,2950,3186,6270,1910,68,193,192,385,64,41,105,21,25,46,40,644,98.0,63.07174390710988
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,38044,18429,19615,54032,2947,833,4859,471,51189,43,121,81,34158,1154,3911,95,969,18603,1092,19695,12661,15054,12264,6997,4353,2031,299,53659,42621,96280,64379,20713,6836,148,189,605,884,1320,3318,15458,410,184,648,832,1247,5358,1898,2213,8718,1054,52,161,70,231,28,21,49,6,6,12,4,348,103.0,39.756288283591815
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,60945,38910,22035,84781,7789,786,99020,3846,10684,210,24452,104,7277,133,17157,312,1471,33599,11372,44971,19306,25179,20643,13070,7612,5180,584,91574,52421,143995,94890,35493,15195,148,16426,1203,3884,12215,13372,17340,7188,1667,2314,3981,3828,15082,5588,5666,8813,1531,52,161,70,231,28,21,49,6,6,12,4,348,91.0,56.998751080795465
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,22326,14102,8224,31754,3354,233,28915,2247,9213,33,2932,19,10393,328,5932,207,742,12000,3950,15950,5875,7957,7351,5508,3570,2795,85,33141,14406,47547,35140,13254,5652,34,4410,703,2128,4345,6616,5317,3805,926,1038,1964,1399,5222,1975,1848,3048,649,52,161,70,231,28,21,49,6,6,12,4,348,93.0,58.89238165680474
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,30202,17339,12863,52828,1968,435,9551,1482,34402,27,193,13,37085,277,12493,381,1598,18112,5365,23477,8492,10821,11661,9861,7674,5230,295,54034,17273,71307,55258,20305,7412,55,1063,2002,2973,7285,9532,11259,3062,960,1225,2185,1636,5721,2058,2027,5450,1778,52,161,70,231,28,21,49,6,6,12,4,348,98.0,65.1053835962905
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,65772,41263,24509,110801,1859,1543,57027,6148,84397,310,4768,139,22586,1198,30539,2477,7418,20308,30180,50488,15368,21956,21376,20007,17342,13840,926,110815,30360,141175,120592,43812,11856,313,3898,6454,8668,23203,27411,15037,12769,1943,3138,5081,4629,16296,6373,5294,9382,2717,68,193,192,385,64,41,105,21,25,46,40,644,98.0,68.55408244748631
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,28561,19554,9007,21416,1581,114,11842,787,776,1164,34920,72,349,67,8635,96,494,10730,2452,13182,4904,4730,4029,2140,1989,1379,667,19838,19203,39041,30709,13849,5399,20,105,895,205,4824,4036,6820,2134,1194,1203,2397,1580,4886,1777,1529,2034,160,52,161,70,231,28,21,49,6,6,12,4,348,71.0,52.169998199171616
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,50169,27545,22624,61806,1811,836,20682,1103,83361,61,778,43,5325,622,16026,98,888,18420,6500,24920,13585,16989,12077,7834,4305,2134,182,57106,50628,107734,71785,25669,14423,98,963,679,1369,6118,7182,15861,2575,944,1418,2362,1989,7974,2960,3025,6681,2468,52,161,70,231,28,21,49,6,6,12,4,348,94.0,42.843491850859564
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,17644,9968,7676,17676,804,591,5261,411,5643,27,2577,7,20967,427,6198,97,392,8569,2182,10751,3952,5584,4915,2935,2211,1349,46,20992,11209,32201,21090,8910,5252,68,136,430,1031,2823,3491,5393,1047,795,833,1628,837,2749,934,978,2100,709,52,161,70,231,28,21,49,6,6,12,4,348,89.0,51.514722536806346
